Company Name;Category;Address;City;Country;email;phone;fax;web;phone24;Ports;Company profile
SINAR LAUT KARYA & SHIP SUPPLY;None;johar no.7;Jakarta;Indonesia;sinar_laut_karya@hotmail.com;"""+62818813201""";"""+62214357654""";No data;"""No data""";"Palembang, 
Banjuwangi, 
Tanjunguban, 
Panjang, 
Banjarmasin, 
Sorong, 
Tanjung Bara Coal Terminal";"We are a company of ships supply & ship chandler especially in the field of provision, bonded store, engine store, deck store, refilling gasses, rewind motor, safety equipment, Razor, BA Chart(Publication), Log Book, Life raft service ,chemical, lime powder. etc.

We wish to introduce our services to your, in hopes of cooperating on vessel during call to all major port INDONESIA, Jakarta/Panjang/Merak/Cigading/Ciwandan/Merak/Cilacap/Surabaya/Semarang/Tanjung Kampeh/Tanjung Sekong/Taboneo/Muara Berau/Bunati Indonesia needs purchase, please contact us for your requisition list with competitive price."
SINAR LAUT KARYA & SHIP SUPPLY;Ship Supply;johar no.7;Jakarta;Indonesia;sinar_laut_karya@hotmail.com;"""+62818813201""";"""+624357654""";No data;"""No data""";Cilacap;"We are a company of ships supply & ship chandler especially in the field of provision, bonded store, engine store, deck store, refilling gasses, rewind motor, safety equipment, Razor, BA Chart(Publication), Log Book, Life raft service ,chemical, lime powder. etc.

We wish to introduce our services to your, in hopes of cooperating on vessel during call to all major port INDONESIA, Jakarta/Panjang/Merak/Cigading/Ciwandan/Merak/Cilacap/Surabaya/Semarang/Tanjung Kampeh/Tanjung Sekong/Taboneo/Muara Berau/Bunati Indonesia needs purchase, please contact us for your requisition list with competitive price."
Executive Integrity;Other;29 Carlton Crescent;Southampton;United Kingdom;info@executive-integrity.com;"""+44 203 854 2300""";"""+44 203 854 2300""";https://www.executive-integrity.com/;"""+44 203 854 2300""";No data;"Executive Integrity sources critical talent for clients in Maritime, Shipping, and Ports & Logistics around the globe with our HQ in Southampton and other international offices.
We pride ourselves on delivering the best talent in the market for our clients.
We take a proactive approach to finding passive candidates that will result in a positive change to Maritime, Shipping, and Port & Logistic organisations."
E4C Vesselco 1 Pte Ltd;Ship Owner;No data;No data;Singapore;No data;"""No data""";"""No data""";No data;"""No data""";Singapore;No data
Radio Electronic (PTY) Ltd;Marine Equipment;17 Fourteenth Road;Walvis Bay;Namibia;info@re.com.na;"""+264 64 207483""";"""+264 64 206916""";http://www.re.com.na/;"""No data""";Walvis Bay;Furuno, Simrad, Cobham (Sailor & Thrane), Jotron, Scanmar, KVH, Kannad, McMurdo, Navitron, Icom, Motorola, Kenwood, Maxsea TimeZero, Sodena TurboWin
Dee4 VesselCo 7 K/S;Ship Owner;No data;No data;Denmark;No data;"""No data""";"""No data""";No data;"""No data""";KÃ¸benhavn;No data
Harrier Bay Shipping Pte Ltd;Ship Owner;No data;No data;Singapore;No data;"""No data""";"""No data""";No data;"""No data""";Singapore;No data
Hamja Marine Services;Ship Supply;Wali Building, (2nd floor, 3rd room), Saraipara, Pahartali;Chittagong;Bangladesh;hamjamarine@gmail.com;"""+8801850739905""";"""No data""";No data;"""+8801850739905""";"Mongla, 
Chittagong";No data
Hamja Marine Services;Ship Supply;Wali Building, (2nd floor, 3rd room), Saraipara, Pahartali;Chittagong;Bangladesh;hamjamarine@gmail.com;"""+8801850739905""";"""No data""";No data;"""+8801850739905""";"Mongla, 
Chittagong";No data
Fame Charters Marine Services LTD-Free Zone;Ship Supply;16 st. Dr. Abdel monem Alrabah , Abo shousha , qesm El Gomrok;Alexandria;Egypt;info@famecharters.com;"""+2001100044049""";"""+201223251678""";https://www.famecharters.com/;"""+201100044049""";"Port Said, 
Damietta, 
El Iskandariya (Alexandria), 
Abu Kir, 
El Dekheila, 
Safaga, 
Suez, 
El-Adabiya";"With vast experience in the shipping industry the company has earned a reputation for its extensive experience, high grade service and dedicated team who has helped the company to grow and adapt to meet the challenges of todayâ€™s demanding maritime industry.
Fame Charters success is built on the satisfaction of its clients and the company aims to remain at the forefront of the industry by continuous improvement. The company ensures the high quality service for which it is well known to various leading worldwide clients.
Offering the most comprehensive range of services tailored to your vesselâ€™s needs, our expert team is trained to focus on your requirements & understanding the importance of supplying the right item at the right time at the right price.
We supply all technical stores, Deck, Engine, Spare parts, Cabin, Chemical, Safety & Rescue equipment's, repair & underwater works, spare parts forwarding and custom clearance. Suez Canal transit & agency services."
