Company Name;Specialized In;Address;Phone1;Phone2;Phone3;Phone4;Phone5;Email;Web;FB;LinkedIn
CDS SHIP CHANDLER;"Boat Services, 
Bunkering, 
Calibration Services, 
Diving & Underwater Services, 
Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Recruitment & Manning Services, 
Remote Surveys & Inspections, 
Safety & Technical Inspections";Head Office: Carrefour Samuel Eto’o Fils Bonamoussadi, Douala Cameroon;"""Office: (+237) 233 478 787""";"""Whatsapp : (+237) 661 735 050""";"""WeChat: (+237) 671 083 030""";"""Viber : (+237) 661 735 050""";No data;supply@cameroondivingservices.com;https://www.cmrshipchandling.com/;https://www.facebook.com/cameroondivingservice;https://www.linkedin.com/company/cameroondivingservicesltd/
TROPICAL Ship Supply Ltd.;"Boat Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Cargo Handling Equipment, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores";Rua Netuno, #5, Recanto dos Vinhais - Zip Code: 65-070-370 Sao Luis, MA - Brazil;"""+55 98 98190 2249""";"""+55 98 3042 0252""";No data;No data;No data;sales@tropicalshipsupply.com;http://www.tropicalshipsupply.com;https://www.facebook.com/tropical.shipsupply/;https://www.linkedin.com/company/tropical-ship-supply/about/
SHIP CHANDLER TURKEY;"Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases, 
IT Equipment, 
Provisions";Head Office: Evliya Çelebi Mh. Genç Osman Cd. No:45/D / Postal Code: 34944 Tuzla, Istanbul / TURKIYE;"""+90 216 701 2706 Direct""";"""+90 216 447 5312 Fax""";"""+905330640827 GSM""";No data;No data;info@shipchandlerturkey.com;https://www.shipchandlerturkey.com/;No data;No data
Worldwide Ship Service;"Boat Services, 
Bunkering, 
Diving & Underwater Services, 
Drones Inspections, 
Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Inventory of Hazardous Materials, 
Life Saving Equipment Services, 
NDT (Non-Destructive Testing), 
OWS & ODME services";Evliya çelebi mah. Genç osman cad. No:45/4 Tuzla / Istanbul;"""+90 216 582 00 97""";"""+90 216 582 00 98""";"""+90 216 582 00 18 (Fax)""";No data;No data;agency@worldwide-shipservice.com;http://www.worldwide-shipservice.com/;https://www.facebook.com/Mr-104824957593080/;https://www.linkedin.com/in/worldwide-ship-service-230272195/
Besiktas Marine Service Trading Co. Ltd.;"Diving & Underwater Services, 
Life Saving Equipment Services, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Air Conditioning Equipment, 
Boilers & Heating Equipment, 
Cargo Handling Equipment, 
Chemical Products, 
Container Equipment";Evliya Celebi Mahale Genc Osman Caddesi No:45 / C 34944 Turkey;"""+90 216 701 15 05""";No data;No data;No data;No data;reina@besiktasmarine.com;http://besiktasmarine.com/;https://www.facebook.com/besiktasmarine;No data
Concorde Marine Services & Supplies;"Boat Services, 
Bunkering, 
Diving & Underwater Services, 
Forwarding & Logistics Services, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores";Ahmed Maher, st., Elbazar st, Beside Suez Canal Authority- Port said, Egypt;"""+20 66 326 2436""";No data;No data;No data;No data;sales@concorde-marine.com;https://concorde-marine.com/;No data;No data
TECH CARE (ISRAEL);"Boat Services, 
Calibration Services, 
Fire Fighting Equipment Services, 
Forwarding & Logistics Services, 
Life Saving Equipment Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Air Conditioning Equipment, 
Ballast Equipment, 
Cargo Handling Equipment";Ofir 8 St., 3223508 Hof Shemen - Industrial Zone, Haifa, Israel;"""+972-52-4818026""";No data;No data;No data;No data;techcaremarine@gmail.com;No data;No data;No data
Panama Ship Supply Maritime Services;"Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Fire Fighting Equipment, 
Galley Equipment, 
Gases, 
IT Equipment";Plaza PanCanal Suite 5, Albrook, Panama City, Panama;"""+507 6949-4193 (24/7)""";No data;No data;No data;No data;hello@pss-services.com;http://pss-services.com/;No data;No data
NOVOSHIPSERVICE, Ltd.;"Boat Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Chemical Products, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores, 
Gases, 
IT Equipment, 
Life Saving Equipment";Off. 215, 7, Engels Str., Novorossiysk, 353900 Russia;"""+7 (918) 489-76-26""";No data;No data;No data;No data;novoshipservice@gmail.com;http://novoshipservice.ru/;No data;No data
TRIBECA SHIPPING AGENCY INC.;"Boat Services, 
Bunkering, 
Forwarding & Logistics Services, 
Recruitment & Manning Services, 
Ship Agency Services, 
Ship Spares & Stores, 
Accomodation Stores, 
Deck & Hatch Equipment, 
Electrical Spares & Stores, 
Engine Spares & Stores";Omer Avni Mh. Prof. Dr. Tarık Zafer Tunaya Sk. No: 14/12 Beyoglu Istanbul, Turkey;"""+90 212 252 71 72""";"""+90 212 252 71 74""";No data;No data;No data;ops@tribecashipping.com;http://tribecashipping.com/;No data;No data
